Summary of robustness across all GNN models with dropout with 16 features

Seed    Epsilon   Robust   Unknown    NotRob    Total    Acc   
0       0.00005   0.157     0.590     0.253     35947   0.747
0       0.00050   0.157     0.590     0.253     35947   0.747
0       0.00500   0.157     0.592     0.251     35947   0.747
0       0.05000   0.154     0.616     0.230     35947   0.747
1       0.00005   0.719     0.000     0.280     35947   0.720
1       0.00050   0.719     0.001     0.280     35947   0.720
1       0.00500   0.718     0.004     0.278     35947   0.720
1       0.05000   0.711     0.030     0.258     35947   0.720
2       0.00005   0.738     0.001     0.261     35947   0.739
2       0.00050   0.738     0.001     0.261     35947   0.739
2       0.00500   0.738     0.004     0.259     35947   0.739
2       0.05000   0.733     0.028     0.239     35947   0.739
