Summary of robustness across all GNN models with dropout with 34 features

Seed   Epsilon    Robust     Unknown    NotRob     Total      Acc   
0       0.00005   0.300     0.000     0.700       10   0.600
0       0.00050   0.300     0.000     0.700       10   0.600
0       0.00500   0.200     0.500     0.300       10   0.600
1       0.00005   0.400     0.200     0.400       10   0.200
1       0.00050   0.300     0.300     0.400       10   0.200
1       0.00500   0.300     0.400     0.300       10   0.200
2       0.00005   0.400     0.100     0.500       10   0.500
2       0.00050   0.300     0.300     0.400       10   0.500
2       0.00500   0.100     0.800     0.100       10   0.500

